system,mean_sg_eer_pct,mean_sg_mindcf,params,n_conditions
"Audio only (ECAPA2, frozen)",9.094474760070439,,,25
"Late fusion (score, a=0.5)",1.0087198938708706,,,26
MLP fusion,0.30190171255246523,0.013311538596798737,222528,26
Gate + trunk (ablation),0.5009790238601943,0.031003846509310488,221952,26
"Gate, tied (ablation)",0.6890306977976042,0.05307692416648094,73920,26
"Gate, scalar (ablation)",3.5616608451192198,0.3097538512486678,770,26
Gate (primary),0.4356507392591224,0.03280769292480097,147840,26
