noise_type,snr_db,sg_eer_mean,sg_eer_std,sg_min_dcf_mean,sg_min_dcf_std,sg_threshold_mean,sg_threshold_std,cg_far_mean,cg_far_std,overall_eer_mean,overall_eer_std,overall_min_dcf_mean,overall_min_dcf_std,overall_threshold_mean,overall_threshold_std,n_pairs
cafeteria,-10.0,0.02291464656591412,0.003320382829695743,0.27840000987052915,0.05771416794832235,0.2841146349906921,0.016076174066273267,0.0022000000113621,0.0009746794449438132,0.0179949748329818,0.0035804351126791666,0.22444824874401093,0.04310820430827931,0.26528655290603637,0.017290437734249924,5980
cafeteria,-5.0,0.01577929304912682,0.004258141724620586,0.12749999836087222,0.061343294110404414,0.33537799715995786,0.015042987194970301,0.00060000002849846,0.0008215838752808879,0.01180452266708012,0.0037640224455635462,0.10897437110543244,0.0392299759120366,0.3189552962779999,0.016206871475942495,5980
cafeteria,0.0,0.00854292926378542,0.004051488165016728,0.0474999994039535,0.031220985131158032,0.40514394640922546,0.013022324412311709,0.0,0.0,0.00606507537886494,0.003225050864823587,0.04534974992275232,0.0278516950032062,0.38832741379737856,0.01746305138531662,5980
cafeteria,5.0,0.0070353535469621,0.003408292056567543,0.02619999982416622,0.01616554939744849,0.44271591305732727,0.014353739595144459,0.0,0.0,0.0052881909301504,0.002378357491908645,0.02619999982416622,0.01616554939744849,0.4252339780330658,0.01616489154111425,5980
cafeteria,10.0,0.00542727268766606,0.0028736360207384124,0.01859999969601628,0.010691117335427438,0.4599600613117218,0.015098103732870504,0.0,0.0,0.0044110552873462,0.002822210856559958,0.01859999969601628,0.010691117335427438,0.4501468539237976,0.019583595734871607,5980
clean,,0.0042212121188640195,0.0027432540154135525,0.01020000018179412,0.005007494418424245,0.5070802330970764,0.02123045110346228,0.0,0.0,0.0030075377202592396,0.0021849255355282263,0.01020000018179412,0.005007494418424245,0.49274158477783203,0.027301546663870125,5980
metro,-10.0,0.02236212119460102,0.0032467354184935104,0.2829000025987625,0.05411146716607082,0.3137087106704711,0.01444499260877449,0.0018000000505707999,0.0009082951157265746,0.0168170853517949,0.0034956875041269467,0.20897287726402278,0.03591687536726656,0.29670974612236023,0.015581251544243179,5980
metro,-5.0,0.01547777801752086,0.0044153645861610795,0.13199999630451198,0.04792572444241135,0.36077327132225034,0.017296205430298757,0.00010000000474974,0.0002236068083707205,0.01160376882180568,0.003519518883449248,0.12089949548244472,0.044661501951092995,0.34279386401176454,0.020091458557143078,5980
metro,0.0,0.01015101000666612,0.0031261756799949854,0.0477000012993812,0.020702053721152035,0.414072585105896,0.015834084628438883,0.0,0.0,0.00756884426809844,0.0032734056265930544,0.0477000012993812,0.020702053721152035,0.39659385681152337,0.02005482061388377,5980
metro,5.0,0.0066333333496004,0.0032255701072521803,0.025100000202655744,0.01370401424515247,0.4561983585357666,0.008547612233290362,0.0,0.0,0.005413567880168521,0.0021963949398776375,0.025100000202655744,0.01370401424515247,0.438888943195343,0.01687727275436282,5980
metro,10.0,0.00562828285619612,0.003146305784356609,0.01839999947696918,0.009174692639716854,0.4767820179462433,0.011091747417541762,0.0,0.0,0.00431080409325654,0.0025706190552680108,0.01839999947696918,0.009174692639716854,0.4590272009372711,0.015142296709557164,5980
office,-10.0,0.01155808055773372,0.003972810748674124,0.0748999990522861,0.034090684842735655,0.3594442844390869,0.017790966873635978,0.00040000001899896,0.00041833003313662573,0.00877185929566616,0.0035520677947343702,0.07332462295889848,0.031008293223314408,0.34343609213829035,0.021109220431447088,5980
