noise_type,snr_db,sg_eer_mean,sg_eer_std,sg_min_dcf_mean,sg_min_dcf_std,sg_threshold_mean,sg_threshold_std,cg_far_mean,cg_far_std,overall_eer_mean,overall_eer_std,overall_min_dcf_mean,overall_min_dcf_std,overall_threshold_mean,overall_threshold_std,n_pairs
cafeteria,-10.0,0.0312055559828877,0.003703034869119971,0.37740000486373904,0.04732915621843615,0.2267672568559646,0.013141070536249877,0.00430000014603134,0.0024135038702465363,0.02295753769576544,0.00290987805387384,0.3156728744506836,0.043358210856419534,0.2142817378044128,0.011964654788518356,5980
cafeteria,-5.0,0.01884444430470462,0.004173794012527405,0.15920000523328776,0.07681439408831595,0.2904688835144043,0.010212211886914999,0.00080000003799794,0.0007582875804218814,0.01390979895368212,0.00354670967999463,0.13937437981367107,0.0461128349216467,0.2732675850391388,0.012308068150901097,5980
cafeteria,0.0,0.008442424470558721,0.0033785248770622266,0.04519999977201216,0.03477714763667154,0.37205988764762876,0.009447591713794367,0.0,0.0,0.0057894472731277,0.0030598170767224997,0.04017487522214644,0.02556459886155679,0.36026314496994016,0.011355070272980942,5980
cafeteria,5.0,0.00633181810844684,0.0035640343408456913,0.025900000333785977,0.016775726755043338,0.4194851338863373,0.011888988233947443,0.0,0.0,0.0041854271432384595,0.0020199214957902453,0.025900000333785977,0.016775726755043338,0.40526129603385924,0.016557592860505788,5980
cafeteria,10.0,0.0040202021365984995,0.0024360817023946144,0.015500000026077002,0.012454918916602067,0.44400894045829764,0.011027089961770736,0.0,0.0,0.00325804022140798,0.002161486242202496,0.015500000026077002,0.012454918916602067,0.4351061463356018,0.01641177523524338,5980
clean,,0.0024121212423778597,0.00249750501055732,0.00500000002793966,0.004623310542414125,0.5043706774711609,0.01573175694919496,0.0,0.0,0.0017542713554575603,0.0019393643392837789,0.00500000002793966,0.004623310542414125,0.49073050618171693,0.022170261835244332,5980
metro,-10.0,0.030351515114307344,0.004558410341541627,0.378600013256073,0.06044254357932069,0.26467161178588866,0.009147139557450864,0.00250000006053594,0.0010606601947191333,0.0228821607306599,0.0035670694818244245,0.30667285919189446,0.032809708372356125,0.24791124463081354,0.01010202042237465,5980
metro,-5.0,0.02005050517618652,0.004661119358609678,0.18830000460147855,0.05325716058836608,0.3175110280513763,0.01064999437098399,0.00030000001424921994,0.0004472136167414409,0.01461155787110326,0.003942610820085858,0.16432412117719647,0.048638864007351415,0.2996224343776703,0.012561940919992128,5980
metro,0.0,0.01075404039584094,0.00306910908144406,0.04520000033080574,0.025381095860162246,0.38613349199295044,0.008303684901865734,0.0,0.0,0.00766909546218808,0.0024387534192878983,0.04520000033080574,0.025381095860162246,0.3674740135669708,0.012128605853600084,5980
metro,5.0,0.00552777771372342,0.0026827506150069614,0.02760000042617316,0.016595933701151512,0.43809316158294676,0.0075778649926749675,0.0,0.0,0.004586432222276881,0.0023571608477263944,0.02760000042617316,0.016595933701151512,0.4222606778144836,0.013309653207789592,5980
