noise_type,snr_db,sg_eer_mean,sg_eer_std,sg_min_dcf_mean,sg_min_dcf_std,sg_threshold_mean,sg_threshold_std,cg_far_mean,cg_far_std,overall_eer_mean,overall_eer_std,overall_min_dcf_mean,overall_min_dcf_std,overall_threshold_mean,overall_threshold_std,n_pairs
cafeteria,-10.0,0.11175909042358394,0.008330406750711287,0.7939000010490418,0.051586581248662645,0.10705944150686257,0.00476655965713105,0.04770000055432318,0.008489699711011744,0.09428567886352535,0.005926707396523109,0.7468979597091675,0.02677805315683771,0.09926500171422956,0.00374156027168426,5980
cafeteria,-5.0,0.05673383846879002,0.006015628706686918,0.37879999876022336,0.0649592069026262,0.19837208986282345,0.007132746717469564,0.006900000106543259,0.003577708859091869,0.04358391948044294,0.005659358762362877,0.33659849762916566,0.06097078348360106,0.18348123729228968,0.0061932903995137656,5980
cafeteria,0.0,0.01567878797650332,0.0030855215902727785,0.12730000317096704,0.0464537448673618,0.31796672344207766,0.004482380062964264,0.0,0.0,0.01092713549733156,0.002060020346402229,0.10657437294721597,0.03571912302569884,0.30348205566406244,0.0043838103305044234,5980
cafeteria,5.0,0.009849495068192441,0.0022641536054387366,0.06459999978542323,0.0306765375474728,0.38008117079734804,0.004851569966322627,0.0,0.0,0.0069924623239785,0.0016914892865377534,0.05977487415075298,0.024500581567890565,0.36560956835746766,0.005520967553036187,5980
cafeteria,10.0,0.00582929295487698,0.002766172106731826,0.02740000057965512,0.02868666989528202,0.4183314859867096,0.008650702971486176,0.0,0.0,0.00461155781522392,0.001677524353364319,0.022374875284731338,0.017706103131007685,0.4044471621513367,0.009450152988170495,5980
clean,,0.0012060606095474,0.0011568999908588412,0.00300000014249232,0.003409545616067101,0.5080709874629974,0.010635790903232507,0.0,0.0,0.0011527638358529199,0.001111596328010086,0.00300000014249232,0.003409545616067101,0.5022200405597687,0.014442735155095334,5980
metro,-10.0,0.10728636234998698,0.013009482151180349,0.657800018787384,0.05217951273574568,0.15714847445487973,0.0038608124893196134,0.02770000025629992,0.0010954447844615722,0.08373442217707627,0.009881994440565358,0.6246236205101013,0.044421863670845115,0.1458290040493011,0.005161782670471849,5980
metro,-5.0,0.0586434349417686,0.005299199630937535,0.3135000109672546,0.06205743214640409,0.23651040792465206,0.007021919724488992,0.00220000005792824,0.0010368220860355487,0.04541356787085528,0.004129335727689005,0.28282411694526666,0.047079661909690776,0.21445062160491943,0.007752161893281091,5980
metro,0.0,0.02351767681539054,0.004107338050783529,0.11369999945163725,0.05697213986191221,0.33158217072486873,0.006800442774487973,0.00030000001424921994,0.00044721361674144087,0.01799497464671728,0.0018429327378469485,0.11369999945163725,0.05697213986191221,0.31325702667236327,0.006320240460403227,5980
metro,5.0,0.00824141404591496,0.002856006307140399,0.058700000122189476,0.025373707785362964,0.4036937773227692,0.0055456689147047634,0.0,0.0,0.00691733667626974,0.002307957229818182,0.04914974905550476,0.01747160186793872,0.3889796912670135,0.005829412726130601,5980
metro,10.0,0.0051257576793432,0.001893660378223413,0.01829999964684246,0.008174655427573832,0.44226176142692564,0.00777991882228748,0.0,0.0,0.0041103015420958,0.0018888784152869195,0.01829999964684246,0.008174655427573832,0.42950479984283446,0.009557956853561238,5980
