noise_type,snr_db,sg_eer_mean,sg_eer_std,sg_min_dcf_mean,sg_min_dcf_std,sg_threshold_mean,sg_threshold_std,cg_far_mean,cg_far_std,overall_eer_mean,overall_eer_std,overall_min_dcf_mean,overall_min_dcf_std,overall_threshold_mean,overall_threshold_std,n_pairs
cafeteria,-10.0,0.02010101005434984,0.004097968978654864,0.19080000221729276,0.06565877452111214,0.4457327425479889,0.024634986091182372,0.00140000001993026,0.000651920195591314,0.01631582910194988,0.004064928514346802,0.15159899741411206,0.03232728798119647,0.4191394567489624,0.028549070415669727,5980
cafeteria,-5.0,0.01778939403593536,0.004153060173162468,0.13860000073909756,0.05817581359164676,0.4709423124790192,0.02072344987628797,0.00080000000307334,0.0010368220453336949,0.0129824118688702,0.00424270293309121,0.11357387006282801,0.03816116779689477,0.4450972318649292,0.027798256177913757,5980
cafeteria,0.0,0.0149752524681389,0.004556105785176296,0.12789999842643734,0.052575423269420954,0.49566718339920046,0.02507029676800675,0.00060000001685692,0.0006519202513953455,0.01112788943573828,0.0036560794225736722,0.10519899427890773,0.03645209813123116,0.4690494477748871,0.030145610844091765,5980
cafeteria,5.0,0.014372222125530198,0.004892851605995622,0.10700000450015064,0.05232471404259564,0.5110664188861846,0.023994820509937228,0.0005000000237487,0.0005000000237487,0.01067663324065502,0.00356807607550608,0.08799949809908862,0.0349024511295122,0.4824985802173615,0.030291693308489305,5980
cafeteria,10.0,0.01376919168978922,0.004918590076928958,0.09490000009536739,0.04983648495057266,0.5169626712799072,0.02748329252281238,0.00040000001899896,0.00041833003313662573,0.0107268843334168,0.004019437695623055,0.07982462048530573,0.033174112196673336,0.49064347743988035,0.029461319454194536,5980
clean,,0.01266363626345986,0.004624870824464427,0.09150000289082522,0.04197469586351087,0.5346276044845581,0.022611857319036584,0.00020000000949948,0.0002738612917602817,0.009799497574567741,0.0040144223297786975,0.07459949627518649,0.026733385619191554,0.5098575115203857,0.030086980314248564,5980
metro,-10.0,0.01899545453488822,0.004057716265998237,0.190800005197525,0.07328931976788054,0.4594289124011993,0.022668174084641356,0.00140000001993028,0.0008944271781665056,0.01483718603849408,0.0036250222842922784,0.15012362301349635,0.04181243646531085,0.43554351925849916,0.026010471121134096,5980
metro,-5.0,0.016281818319112018,0.004418223229189785,0.13809999898076053,0.06642514951252491,0.47909046411514283,0.028807116853316123,0.00080000003799794,0.0008366600662732873,0.01213040212169284,0.003690281491955714,0.11799949482083319,0.04765809102341195,0.4560547828674316,0.031639040944823005,5980
metro,0.0,0.01487474758177992,0.0046953180426727885,0.12250000536441799,0.05179165035295757,0.5001706480979919,0.025398067219021055,0.0005000000237487,0.0005000000237487,0.011177889443933919,0.004131119780669961,0.1023994997143745,0.03319141097745171,0.47532453536987307,0.03109935710888775,5980
metro,5.0,0.01386969704180952,0.004213427794646898,0.10550000295042987,0.05403355663231611,0.517113083600998,0.024112795235241163,0.00040000001899896,0.00041833003313662573,0.01092713577672834,0.0039829104025959575,0.08539949730038639,0.03501220608493341,0.49078269600868224,0.030314812353626954,5980
metro,10.0,0.01366868680343028,0.004583735555515037,0.0898000001907348,0.044309423070002824,0.5224636018276214,0.025367192128140367,0.00040000001899896,0.00041833003313662573,0.01010025124996896,0.0033008474364139753,0.07472462058067315,0.025774844950652572,0.4952336013317108,0.028518058245379577,5980
office,-10.0,0.01638232329860324,0.003886050723272073,0.14150000363588333,0.07393578767204491,0.47956458330154417,0.028448369788959996,0.0009000000427476799,0.0006519202714848236,0.012531155813485361,0.004158020102617917,0.11372412145137782,0.04550882432882954,0.45226648449897766,0.02809464185004884,5980
office,-5.0,0.0150757574476301,0.004159136326957662,0.11820000261068339,0.06126438530305177,0.4889169275760651,0.026436090457352728,0.0007000000332482001,0.0008366600662732904,0.01160401990637178,0.0033386900456522073,0.09857437312602993,0.042284191079426874,0.4639856398105621,0.02892892330385581,5980
office,0.0,0.013970202114433039,0.004088715422739086,0.10570000484585758,0.05277618338646438,0.5061410427093506,0.02630505080801475,0.00040000001899896,0.00041833003313662573,0.01070175892673428,0.003700115467784735,0.08559949472546574,0.03439858920443391,0.47614322900772094,0.03136423153535515,5980
office,5.0,0.01376919178292152,0.004695317933028574,0.09760000184178348,0.045394661042222235,0.5126778900623321,0.023031057440731858,0.00040000001899896,0.00041833003313662573,0.010401005111634701,0.0038562949547834144,0.0825246222317218,0.028582668825702085,0.4853515326976776,0.03211263104497436,5980
office,10.0,0.01346767675131554,0.005092641807955015,0.08970000147819515,0.04168872823439357,0.5193026900291443,0.024236274489735615,0.00040000001899896,0.00041833003313662573,0.010200502537190879,0.0038701827625093675,0.07492461949586866,0.022793767765922988,0.4943607449531555,0.03187720552321815,5980
park,-10.0,0.01859343452379102,0.004035875298860594,0.16650000065565104,0.05957768014553766,0.4679486095905304,0.026424739976130693,0.0009000000427476799,0.0007416198839346181,0.014711809065192899,0.004121619370473435,0.135748741030693,0.032614918739106706,0.4416427731513977,0.026226774392720142,5980
park,-5.0,0.01648282837122676,0.004284746075143436,0.1439000084996223,0.06677144951713698,0.4849356472492218,0.0263125934441973,0.00060000001685692,0.0006519202513953455,0.0125814069062471,0.0033303814729648746,0.117273873090744,0.04125143355723732,0.4582027971744537,0.027549320150680928,5980
park,0.0,0.01517626261338588,0.004104127302931475,0.1256000012159347,0.061204986034971445,0.4991611123085022,0.026635071663027164,0.0005000000237487,0.00035355340738614055,0.011503768712282139,0.0035889543539054675,0.10407436788082117,0.04085426356137066,0.47061105966567995,0.03515209119545847,5980
park,5.0,0.0137691917829215,0.004558876359520026,0.1057999990880489,0.054262788825564554,0.510501229763031,0.02750089782216241,0.00040000001899896,0.00041833003313662573,0.01097738696262234,0.0034960302769068466,0.08729949817061419,0.0362396881638138,0.4821405351161957,0.029239548922529772,5980
park,10.0,0.01356818173080678,0.004660227497590782,0.09780000075697895,0.04248764770965235,0.5160536766052246,0.025052262322296973,0.00040000001899896,0.00041833003313662573,0.01022562808357176,0.0035550343690398806,0.08272462263703342,0.02830978113159849,0.4902958035469055,0.030030234704668257,5980
traffic,-10.0,0.017286868765950158,0.004091802489615046,0.15030000209808342,0.0768518071247029,0.47861307859420776,0.02702134352584254,0.00060000001685692,0.0006519202513953455,0.01310778893530364,0.0037211674293719916,0.12534874379634853,0.052813502208412126,0.44975624680519105,0.029318011751043285,5980
traffic,-5.0,0.015980303194373803,0.003947303210674072,0.1322000011801719,0.06012653887139105,0.49561968445777893,0.024343509224312176,0.00040000001899896,0.00041833003313662573,0.01200502514839166,0.003982989124242773,0.10539899617433543,0.03297798738657754,0.4659543037414551,0.03107144735737769,5980
traffic,0.0,0.01437222221866244,0.0046139370531127636,0.1136000037193298,0.055039078772673444,0.5080143272876739,0.02683292792474134,0.00040000001899896,0.00041833003313662573,0.010902261361479721,0.0040779672451288105,0.09349949657917019,0.03618214569818412,0.4816426396369934,0.03308979741223286,5980
traffic,5.0,0.01386969685554498,0.004627599905282591,0.10290000215172763,0.044138140450543525,0.5150502264499665,0.026726142480094407,0.00040000001899896,0.00041833003313662573,0.01022562803700564,0.0036250220782438423,0.08479949757456776,0.02569130019556609,0.4915198028087616,0.03232771301731578,5980
