noise_type,snr_db,sg_eer_mean,sg_eer_std,sg_min_dcf_mean,sg_min_dcf_std,sg_threshold_mean,sg_threshold_std,cg_far_mean,cg_far_std,overall_eer_mean,overall_eer_std,overall_min_dcf_mean,overall_min_dcf_std,overall_threshold_mean,overall_threshold_std,n_pairs
cafeteria,-10.0,0.01979949511587614,0.003950500129265752,0.19660000503063196,0.05931209904200683,0.3929005682468414,0.024678153324758454,0.00150000003632154,0.0008660253945091336,0.01641608029603954,0.0034524651946162463,0.16049898862838743,0.03079882567783576,0.3676406264305115,0.025852423712967865,5980
cafeteria,-5.0,0.01648282827809448,0.00434328364883326,0.12450000420212741,0.06955034672061257,0.42953501343727113,0.020384975436409596,0.00060000002849846,0.0008215838752808879,0.0125314069911837,0.003962778911497346,0.10024924650788303,0.045568356317350844,0.400091290473938,0.023094122563296737,5980
cafeteria,0.0,0.01286464650183912,0.0041984174885374165,0.09229999892413612,0.041978564074573836,0.4655320465564728,0.024568191029898562,0.00010000000474974,0.00022360680837072043,0.0094987438060343,0.003566998587655781,0.07727437354624268,0.0357189823769168,0.4431309998035431,0.024280420916861892,5980
cafeteria,5.0,0.01125656561926002,0.004460884364863353,0.06780000105500214,0.03712579959536522,0.48719587326049807,0.023378801178531763,0.00020000000949948,0.0002738612917602817,0.00832085423171516,0.0027591870671834183,0.06174975112080568,0.031072648049321965,0.4620971083641052,0.025875179001680782,5980
cafeteria,10.0,0.0105530302971601,0.0042935776171904244,0.0554999995976686,0.03084639336510516,0.49711629152297976,0.023512854658522164,0.00020000000949948,0.0002738612917602817,0.00791984926909206,0.003515947584388135,0.05094974823296063,0.02465557304777957,0.47569607496261596,0.026675941411049838,5980
clean,,0.00914595974609252,0.004343283928997767,0.04929999783635134,0.02246274743780386,0.5248406052589416,0.02346489694065091,0.0,0.0,0.00739346747286614,0.003577513886929873,0.04474974721670146,0.01693690202977539,0.49785591959953307,0.02779497614764837,5980
metro,-10.0,0.01909595951437946,0.003988670446914858,0.1937000006437301,0.07417682703450154,0.41199261546134947,0.021206241467204557,0.00119999999878926,0.0009746794135908976,0.0149374372325837,0.0036560797066757227,0.15184874385595318,0.04063815268416647,0.3874852240085601,0.022145743599752268,5980
metro,-5.0,0.01437222249805924,0.004668348898991872,0.12399999946355815,0.06512679843412326,0.4419367671012878,0.02535025408586981,0.00040000001899896,0.00041833003313662573,0.010726884379982902,0.00326009307142472,0.10757437497377394,0.04987957819595017,0.4194025695323944,0.028668709003522506,5980
metro,0.0,0.01266363635659214,0.004556105877626295,0.09050000235438344,0.040121691248276366,0.4715696394443512,0.023335607796424157,0.00020000000949948,0.00027386129176028176,0.00942361811175938,0.003791035219153158,0.07929949685931201,0.03028019710286614,0.44992730021476746,0.030309906479478503,5980
metro,5.0,0.01135707069188352,0.004627599763693374,0.06930000260472294,0.03624327748261671,0.49355344772338866,0.020493797463914845,0.00010000000474974,0.00022360680837072043,0.008220602991059379,0.0028043486010800017,0.05812462493777272,0.025775595224228003,0.4717992305755615,0.023610863620189926,5980
