noise_type,snr_db,sg_eer_mean,sg_eer_std,sg_min_dcf_mean,sg_min_dcf_std,sg_threshold_mean,sg_threshold_std,cg_far_mean,cg_far_std,overall_eer_mean,overall_eer_std,overall_min_dcf_mean,overall_min_dcf_std,overall_threshold_mean,overall_threshold_std,n_pairs
cafeteria,-10.0,0.0203020200133323,0.003998156065522945,0.1965999990701675,0.06490994156219301,0.5007854878902436,0.028675207053225033,0.00160000001778822,0.0010839741470846742,0.01644120607525106,0.003953256917275929,0.16037386953830718,0.03560536034742512,0.47126645445823667,0.030212292903553806,5980
cafeteria,-5.0,0.01894494965672488,0.00453482500973201,0.16939999908208841,0.05709904484670312,0.5106907963752747,0.026026800893682207,0.00120000003371384,0.0010368220663863835,0.015012562833726359,0.004099467310373414,0.139373867213726,0.03639267435229955,0.4848706841468811,0.03131819006109781,5980
cafeteria,0.0,0.01788989901542658,0.004503142043216482,0.16090000271797175,0.05642517699512669,0.5236103296279907,0.027446538070550665,0.0009000000427476799,0.000741619883934618,0.013583919592201659,0.004126437437316275,0.13414924740791317,0.03430166946316844,0.4979512691497803,0.03401727968631217,5980
cafeteria,5.0,0.01728686867281792,0.004545006531855246,0.14520000070333478,0.056507304911613085,0.5326279699802399,0.029615322872239235,0.00080000003799794,0.0008366600662732873,0.013383416831493319,0.004108083741236051,0.12434924691915508,0.040764130444404856,0.5050940871238708,0.03181048758955233,5980
cafeteria,10.0,0.01688484838232394,0.004722132857374704,0.1409999996423721,0.05146114899432773,0.5353638887405395,0.028230296519708608,0.00080000003799794,0.0008366600662732873,0.013182914722710801,0.0042841484364125725,0.12089949697256083,0.035173041637019974,0.5099508583545684,0.033469828267880385,5980
clean,,0.01668383851647372,0.004638501387737798,0.13730000257492062,0.054575180257014584,0.544641649723053,0.029143320091582325,0.0007000000332482001,0.0008366600662732904,0.012681658193469,0.004224906489552943,0.11307437270879742,0.03188490979416961,0.519128167629242,0.03092991398163958,5980
metro,-10.0,0.01984949475154274,0.004248825984874474,0.19230000078678128,0.06646296742394078,0.5088499963283539,0.02361667670414078,0.00150000001303848,0.001172603921192063,0.01531331650912758,0.0038546530544146885,0.15347386896610254,0.03252720668702557,0.4810939967632294,0.028192645572144293,5980
metro,-5.0,0.0187439395114779,0.004590160750114921,0.16990000903606411,0.06414769069918588,0.5183157861232758,0.027358021341031352,0.0009000000078230799,0.001024695057100512,0.014511306583881339,0.0042535604963549346,0.1427738696336746,0.03674076928181688,0.48920574188232424,0.031240059715114784,5980
metro,0.0,0.0180909090675413,0.004564411947798488,0.1573000073432922,0.05885852157583275,0.5279003918170929,0.027612670550125926,0.0009000000078230799,0.001024695057100512,0.013408542331308079,0.004161917788401572,0.13317437171936033,0.03728840092233882,0.5014607429504394,0.0323709253783136,5980
metro,5.0,0.01718636360019442,0.004652091777410176,0.14750000089406962,0.057250544451744725,0.5346824526786804,0.02790658764973769,0.00080000003799794,0.0008366600662732873,0.01310778893530364,0.003994025369158226,0.12347437292337413,0.035788812153965774,0.5085444629192353,0.03385955259524741,5980
