noise_type,snr_db,sg_eer_mean,sg_eer_std,sg_min_dcf_mean,sg_min_dcf_std,sg_threshold_mean,sg_threshold_std,cg_far_mean,cg_far_std,overall_eer_mean,overall_eer_std,overall_min_dcf_mean,overall_min_dcf_std,overall_threshold_mean,overall_threshold_std,n_pairs
cafeteria,-10.0,0.02075404003262516,0.0039228666843574575,0.2198000073432922,0.05047970230812452,0.3402326762676239,0.022262631606216443,0.0016000000527128199,0.0010839741967556915,0.01676683444529766,0.004058029699414131,0.1813984930515289,0.02801616602597114,0.31575984358787534,0.022407544669905133,5980
cafeteria,-5.0,0.015980303008109258,0.004026478517335172,0.11810000017285345,0.06175900988685374,0.381712532043457,0.01967162339669815,0.0009000000311061599,0.0014747881647694159,0.01165401991456742,0.003281033792276545,0.09639899656176563,0.04227995953722967,0.35975282788276675,0.019461844864984437,5980
cafeteria,0.0,0.01035202024504538,0.0040452503508394315,0.06199999842792744,0.03134685111188378,0.43708800673484804,0.01665445974996886,0.00010000000474974,0.00022360680837072043,0.00749371862038966,0.0031408391464814865,0.058549749292433215,0.03175502244399687,0.41424776911735534,0.022576705816351916,5980
cafeteria,5.0,0.009246464725583759,0.0035640343359213547,0.03699999954551454,0.01981161301846876,0.4643351972103119,0.015149439140031222,0.0,0.0,0.00656633165199306,0.0030957863184678707,0.03699999954551454,0.01981161301846876,0.4425255060195923,0.021218091855476174,5980
cafeteria,10.0,0.00793989896774288,0.0037672640474404355,0.02919999947771426,0.017380305121176488,0.4810116469860077,0.02015728616280246,0.0,0.0,0.00616532664280382,0.002929979662048622,0.02919999947771426,0.017380305121176488,0.46602743268013,0.02292123338323212,5980
clean,,0.00663333330303424,0.0035957780056962885,0.02229999955743548,0.00913509684358394,0.5150312423706055,0.020170418837218578,0.0,0.0,0.00488718589767812,0.0028272837605989773,0.02229999955743548,0.00913509684358394,0.4946718156337738,0.02678596556088561,5980
metro,-10.0,0.019397474639117698,0.0039022629812635466,0.2172000020742416,0.08591318297546958,0.3624452769756317,0.017317208735059667,0.0014000000082887401,0.0007416198152583212,0.015112813934683741,0.003821107165081725,0.16439849138259882,0.043723192513353736,0.341565865278244,0.020051344798379084,5980
metro,-5.0,0.014271717425435721,0.004107202740324909,0.11929999887943261,0.04901606896107894,0.4031485736370087,0.02329007373640811,0.00030000001424921994,0.00044721361674144087,0.0105263819918036,0.0033437965653534338,0.1083246231079101,0.04575643254966494,0.3805958867073059,0.025248301782570953,5980
metro,0.0,0.01105555566027754,0.00394090004354265,0.06550000049173829,0.029784644456812632,0.44560579061508176,0.0202654610327713,0.0,0.0,0.0078695980366319,0.003336143624067357,0.061149749532341924,0.024192499497118627,0.423575884103775,0.02450049883210039,5980
metro,5.0,0.00864343442954118,0.0034707001046843,0.03920000009238714,0.01987649359520956,0.4773112714290619,0.01557039925188674,0.0,0.0,0.0065663316752761006,0.0026652261912476502,0.038474873825907654,0.018781538922228617,0.4551218569278717,0.0205428518613424,5980
metro,10.0,0.00783939398825166,0.003736977407053344,0.027699999883770882,0.014511202813651116,0.491932338476181,0.016379322136411505,0.0,0.0,0.00621557789854702,0.0028043485636249175,0.027699999883770882,0.014511202813651116,0.4716205656528472,0.021313567880815624,5980
office,-10.0,0.01256313119083638,0.004536664837489933,0.08499999865889546,0.04425211816511056,0.40084210634231565,0.022918749479594245,0.0005000000237487,0.0005000000237487,0.009172864351421579,0.003769247452770208,0.08202462419867512,0.03911743289316967,0.3818419277667999,0.025181519473379845,5980
office,-5.0,0.0105530302971601,0.0036062971995575012,0.05629999898374076,0.02756719059331714,0.42436447739601135,0.021883247762239814,0.00010000000474974,0.00022360680837072043,0.007919849222525921,0.002973932830765178,0.054874872788786846,0.025842834776237285,0.4007637858390808,0.023507226872220635,5980
office,0.0,0.0086434344295412,0.0032450838212909608,0.04120000079274174,0.02062340972757126,0.4521529495716095,0.015911649013336016,0.0,0.0,0.0065163317136466194,0.002965472221671646,0.040674875676631875,0.020099555999047464,0.4305077433586121,0.022822832299994794,5980
office,5.0,0.00854292926378546,0.004113346499252383,0.030999999493360457,0.015996092139699346,0.46509590148925783,0.015290255614811286,0.0,0.0,0.0063158291857689204,0.002848794287539398,0.030999999493360457,0.015996092139699346,0.44750785231590273,0.022011135699705652,5980
office,10.0,0.00753787886351342,0.003892544056004165,0.02420000005513422,0.01164366848978073,0.4845249354839325,0.018589050171160217,0.0,0.0,0.006090201018378099,0.0029384133631163985,0.02420000005513422,0.01164366848978073,0.4656325221061707,0.023232044209333915,5980
park,-10.0,0.01738737383857364,0.004013915591985266,0.15179999917745587,0.07722418832541866,0.37970705032348634,0.021689753687781865,0.00100000001257282,0.0009354143211183358,0.013082663062959878,0.0038955316472319406,0.11682411581277848,0.0442847958418151,0.3566336452960968,0.024384320792659682,5980
park,-5.0,0.013568181823939018,0.004128666207103946,0.09149999991059297,0.04127045107365714,0.41187087297439573,0.021680315634861138,0.00030000001424921994,0.00044721361674144087,0.01010025120340284,0.002884448507202133,0.08647487387061115,0.04004221444559376,0.38938496112823484,0.022196092722184802,5980
park,0.0,0.01105555566027758,0.004234353117858187,0.06370000243186946,0.03967461648374781,0.43927347660064686,0.02342111883238417,0.00010000000474974,0.00022360680837072043,0.00791984922252594,0.0028222107965976263,0.05804975032806392,0.03028597748746425,0.4164306342601776,0.02562425109020489,5980
park,5.0,0.00914595960639414,0.003470700001863557,0.04239999987184996,0.025078376982305355,0.46280149221420286,0.020351490064112302,0.0,0.0,0.006992462323978479,0.0030392499266273633,0.03927487470209592,0.019495867801493955,0.44073927998542783,0.0290875778982373,5980
park,10.0,0.00814090901985762,0.0038828002642692693,0.031700000166892964,0.017831152334916844,0.48168503046035765,0.019880479393501974,0.0,0.0,0.006591457314789261,0.0030068898333791404,0.031700000166892964,0.017831152334916844,0.450716906785965,0.019479774071112187,5980
traffic,-10.0,0.015176262706518121,0.0034156933286628196,0.14390000328421587,0.08153787946964934,0.39672572016716,0.023005127431318606,0.00040000001899896,0.00041833003313662573,0.0119798994623124,0.0035318712567689917,0.12032412216067308,0.05830987064340381,0.37335798144340515,0.023029942944259574,5980
traffic,-5.0,0.01196010094135996,0.003359786429083084,0.08039999976754186,0.04488791677930987,0.4333159625530243,0.017595583411196658,0.00020000000949948,0.0002738612917602817,0.009097738703712801,0.0030330588876673016,0.0677246235311031,0.03340313679088498,0.40838477611541746,0.023737369692327176,5980
traffic,0.0,0.00995000014081592,0.004486286957817022,0.051900000125169723,0.026034593098381364,0.45768755078315737,0.018919279892624097,0.00010000000474974,0.0002236068083707205,0.0069924623239785,0.00256881943621545,0.05037487372756,0.023692181542597123,0.43716219663619993,0.026038861948984252,5980
traffic,5.0,0.007839393941685539,0.003685946551436603,0.034100000187754595,0.016592167657432964,0.47854828238487235,0.02008300235422714,0.0,0.0,0.00619045225903388,0.002790280246869891,0.034100000187754595,0.016592167657432964,0.45781549215316775,0.023833156354201038,5980
traffic,10.0,0.0072363635990768,0.004375145501005346,0.025500000081956343,0.013729529483515787,0.4918496012687683,0.016565887109610225,0.0,0.0,0.0058896984905004,0.003298939069453273,0.025500000081956343,0.013729529483515787,0.46896435022354127,0.023707000542222325,5980
