noise_type,snr_db,sg_eer_mean,sg_eer_std,sg_min_dcf_mean,sg_min_dcf_std,sg_threshold_mean,sg_threshold_std,cg_far_mean,cg_far_std,overall_eer_mean,overall_eer_std,overall_min_dcf_mean,overall_min_dcf_std,overall_threshold_mean,overall_threshold_std,n_pairs
cafeteria,-10.0,0.0554272729903459,0.004104127206001979,0.5588000297546387,0.03673656142562211,0.1670845061540603,0.00739713073174166,0.012600000016391241,0.0028591958421722114,0.04150376915931696,0.002694036012734604,0.5018226206302643,0.03978542192926282,0.15744286775588984,0.007371758376181879,5980
cafeteria,-5.0,0.031105050630867458,0.00503278501579048,0.24310000538825988,0.06181160490686834,0.2406815320253372,0.007570901123453983,0.0023000000277533803,0.0009082951109202456,0.0225314069539308,0.004114684839580127,0.21002361476421355,0.05419883169837286,0.22705079019069668,0.007227442155624448,5980
cafeteria,0.0,0.0097489899024367,0.0035640344147106705,0.06440000124275677,0.02963402032736519,0.34435032606124877,0.006279903730535106,0.0,0.0,0.0063909547636285206,0.002137697780364151,0.05937487520277494,0.023605048296604515,0.33209357857704164,0.00799716030734007,5980
cafeteria,5.0,0.00683434349484736,0.0025771266613565163,0.03359999880194658,0.01782694421609959,0.3961479485034943,0.009771744020390246,0.0,0.0,0.0051879397593438,0.002337025200028084,0.03359999880194658,0.01782694421609959,0.37962389588356016,0.011286415200864916,5980
cafeteria,10.0,0.00432171721477058,0.0024256930953969703,0.01789999958127732,0.019806563902754197,0.42840351462364196,0.010391370951804474,0.0,0.0,0.0036090451991185,0.002196394991685355,0.016974873654544302,0.017792017133973836,0.4156819641590118,0.009824314057930003,5980
clean,,0.00150757582741786,0.0015891244533511564,0.00299999996786936,0.003691205615139801,0.5051942110061646,0.017343926001169917,0.0,0.0,0.00125301510561252,0.0014149255874942852,0.00299999996786936,0.003691205615139801,0.5011608958244324,0.022276312442575136,5980
metro,-10.0,0.052914646640419935,0.0070209811887490285,0.5135999858379364,0.06345018182573733,0.21036895215511317,0.006089733770573488,0.007000000029802281,0.001274754722052076,0.0393984923139214,0.005815594832973191,0.44904775619506837,0.035740486095819625,0.19736762940883634,0.005986753406654945,5980
metro,-5.0,0.03442171718925232,0.005210292715157205,0.2387000113725662,0.051320807833234144,0.2727255284786224,0.006153075784081114,0.00070000003324818,0.0004472136167414409,0.025538693554699336,0.0034619361742593865,0.21502412557601924,0.04151114297688984,0.2547859340906143,0.00763644967014545,5980
metro,0.0,0.0143722223117947,0.0032098738049912484,0.05690000057220453,0.03071929380984761,0.3523279786109924,0.005737481522876382,0.0,0.0,0.01112788934260602,0.002388211385142342,0.05690000057220453,0.03071929380984761,0.337854790687561,0.007483590663798082,5980
metro,5.0,0.00633181822486218,0.0033447199098423403,0.041000002063810784,0.02466526187903798,0.4184594929218292,0.01192268120699939,0.0,0.0,0.0049123115604743,0.0021676074674689275,0.0342497499659657,0.016535556499836134,0.40448530316352843,0.007164614159342289,5980
metro,10.0,0.00391969704069194,0.0027843708427482353,0.01339999996125694,0.006570768660468052,0.4495989799499512,0.010104052360237457,0.0,0.0,0.0036090452456846596,0.0023617629935476564,0.01339999996125694,0.006570768660468052,0.4376684546470642,0.011725050615746009,5980
office,-10.0,0.0155782825313508,0.0058496181280978,0.12510000169277186,0.02575218523657982,0.28039625883102415,0.011279151012959784,0.00030000001424921994,0.00027386129176028176,0.01167914569377892,0.004349464447807566,0.11472462415695187,0.028271232291650596,0.26593596637248995,0.013279097781022903,5980
office,-5.0,0.00753787872381502,0.002357052324430908,0.059500000625848724,0.01834052761903184,0.3282347857952118,0.009236231775620066,0.0,0.0,0.00581457293592388,0.0023670764417437467,0.05707487463951107,0.020502352582546502,0.316760778427124,0.012974524883139422,5980
office,0.0,0.00532676777802404,0.0025525119389772075,0.027999999187886683,0.014637280823638407,0.37766802310943604,0.01518384155621817,0.0,0.0,0.00398492463864384,0.0017642870505637303,0.027999999187886683,0.014637280823638407,0.36546496152877805,0.017984977635394354,5980
office,5.0,0.005125757609494,0.0027386473724678906,0.0258000003173947,0.023671185937010033,0.40786787271499636,0.006621343235413853,0.0,0.0,0.00398492459207768,0.0022211575406935126,0.0258000003173947,0.023671185937010033,0.392647248506546,0.009057215174519887,5980
office,10.0,0.0036181817413307197,0.0031261754788250115,0.01319999992847438,0.011966619836871502,0.4421746075153351,0.015473040553481665,0.0,0.0,0.00278190955286842,0.002694118478438583,0.01319999992847438,0.011966619836871502,0.4299983739852905,0.01869916540969861,5980
park,-10.0,0.03572828248143192,0.0020288580263105537,0.3361000001430511,0.06004830930020917,0.2361460417509079,0.0073103869234228585,0.005600000126287299,0.002302172953009152,0.02726809047162528,0.002669404093121302,0.2986979782581329,0.03247810528182566,0.22530323863029475,0.0073811455573506175,5980
park,-5.0,0.018995454907417258,0.0025475602548992015,0.20730000138282775,0.05259349223774716,0.2965745747089386,0.008441957934740502,0.00030000001424921994,0.00044721361674144087,0.014210552815347841,0.002088662621048797,0.18199850022792813,0.05216016662501206,0.2815064668655395,0.009019485314704817,5980
park,0.0,0.01035202019847924,0.002028858268522487,0.07729999944567675,0.018995394715710847,0.35842078924179077,0.013626787791825017,0.0,0.0,0.0072932161390781205,0.0019501298948779082,0.07227487340569491,0.01067561959921928,0.3432596921920776,0.01603062707985522,5980
park,5.0,0.007336868718266459,0.002178897547654117,0.03940000049769874,0.021927152290766364,0.39577983617782586,0.010232286779096923,0.00010000000474974,0.0002236068083707205,0.005689195985905801,0.0022963885298662055,0.03404974900186058,0.015447371925279237,0.3798688054084778,0.00908247796111267,5980
park,10.0,0.00452272731345142,0.0024873730617438155,0.01750000026077024,0.007897784791676476,0.42556522488594056,0.007965080010441203,0.0,0.0,0.0037844221340491797,0.0024174864430546797,0.01750000026077024,0.007897784791676476,0.4119827806949615,0.009232434537914573,5980
traffic,-10.0,0.02929646428674454,0.007446012310129017,0.31360000371932983,0.0481578152160215,0.2735369563102722,0.009207070122824896,0.00040000000735744003,0.0006519202469310261,0.019473618268966618,0.0052005584722113725,0.2912984907627105,0.027942975389353218,0.25971668064594267,0.009753958332348097,5980
traffic,-5.0,0.014874747581779878,0.0037200448043287434,0.12369999885559077,0.037317219774181065,0.34150388836860657,0.009685974107789857,0.0,0.0,0.01012537674978374,0.002388211443784291,0.11867487430572506,0.03345649301983239,0.3264377355575562,0.012886450468486865,5980
traffic,0.0,0.00974898990243668,0.0033447198836062124,0.06880000233650202,0.03349925472685794,0.38506282567977906,0.010919098803201705,0.0,0.0,0.0068670854438095995,0.002712939510168314,0.06034974902868266,0.027882616391584864,0.36822688579559326,0.009156447498076358,5980
traffic,5.0,0.00522626263555134,0.0023463140377083256,0.024200000241398758,0.015774187859969317,0.4215377449989319,0.009745653035819177,0.0,0.0,0.00378442215733226,0.0017731344617791477,0.02397487424314018,0.015388601118929354,0.4105185389518738,0.011921060430513221,5980
traffic,10.0,0.0041207070462405395,0.003166307806932319,0.013400000147521459,0.012626361347508823,0.44730286598205565,0.01489990395649228,0.0,0.0,0.0033331658574751997,0.0029714457937560232,0.013400000147521459,0.012626361347508823,0.4355153739452362,0.01794549902637213,5980
