fold,noise_type,snr_db,n_pairs,sg_eer,sg_min_dcf,sg_threshold,cg_far,overall_eer,overall_min_dcf,overall_threshold
0,clean,,5980,0.0,0.0,0.33951687812805176,0.0,0.0,0.0,0.33951687812805176
0,cafeteria,-10,5980,0.020101009868085384,0.16949999332427979,0.18581576645374298,0.006500000134110451,0.017042714171111584,0.14837436378002167,0.17597851157188416
0,cafeteria,-5,5980,0.009547979570925236,0.07450000196695328,0.21391987800598145,0.005499999970197678,0.008020100649446249,0.04937437176704407,0.21106652915477753
0,cafeteria,0,5980,0.002512626233510673,0.06200000271201134,0.2453092634677887,0.001500000013038516,0.0025062813656404614,0.03687437251210213,0.23806804418563843
0,cafeteria,5,5980,0.0015075757401064038,0.007000000216066837,0.2927025556564331,0.0,0.0010025125811807811,0.007000000216066837,0.2892626225948334
0,cafeteria,10,5980,0.0005025252758059651,0.003000000026077032,0.3400220274925232,0.0,0.0005012562905903906,0.003000000026077032,0.33444711565971375
0,metro,-10,5980,0.01708585862070322,0.1809999942779541,0.18995743989944458,0.007499999832361937,0.01453643199056387,0.13874875009059906,0.18245306611061096
0,metro,-5,5980,0.011055555660277605,0.10000000894069672,0.21833859384059906,0.004000000189989805,0.009523869026452303,0.0748743787407875,0.20698677003383636
0,metro,0,5980,0.003517676843330264,0.03799999877810478,0.2671460509300232,0.0,0.0025062813656404614,0.03799999877810478,0.2496209740638733
0,metro,5,5980,0.0015075757401064038,0.011500000022351742,0.3050299882888794,0.0,0.0008768844418227673,0.011500000022351742,0.30049648880958557
0,metro,10,5980,0.0010050505516119301,0.0044999998062849045,0.3245283365249634,0.0,0.0008768844418227673,0.0044999998062849045,0.3111577332019806
0,office,-10,5980,0.005025252467021346,0.032999999821186066,0.22893884778022766,0.001500000013038516,0.0040100503247231245,0.032999999821186066,0.2191278338432312
0,office,-5,5980,0.0020101011032238603,0.023000000044703484,0.2608816623687744,0.0,0.0015037688426673412,0.023000000044703484,0.2508848011493683
0,office,0,5980,0.0015075757401064038,0.013000000268220901,0.25492656230926514,0.0010000000474974513,0.0015037688426673412,0.013000000268220901,0.2528522312641144
0,office,5,5980,0.0010050505516119301,0.010499999858438969,0.29700079560279846,0.0,0.0005012562905903906,0.010499999858438969,0.2879365384578705
0,office,10,5980,0.0005025252758059651,0.001500000013038516,0.3155573904514313,0.0,0.0005012562905903906,0.001500000013038516,0.30096879601478577
0,park,-10,5980,0.015578282997012138,0.11100000143051147,0.212032288312912,0.004000000189989805,0.011528894305229187,0.09024874866008759,0.20060597360134125
0,park,-5,5980,0.007537878816947341,0.026999998837709427,0.21980050206184387,0.0020000000949949026,0.007017588010057807,0.026999998837709427,0.2103380262851715
0,park,0,5980,0.00452272710390389,0.017999999225139618,0.2463470697402954,0.0010000000474974513,0.0035087940050289035,0.017999999225139618,0.23637720942497253
0,park,5,5980,0.0015075757401064038,0.004999999888241291,0.2570064067840576,0.0005000000237487257,0.0010025125811807811,0.004999999888241291,0.25659340620040894
0,park,10,5980,0.0010050505516119301,0.007499999832361937,0.32402893900871277,0.0,0.0005012562905903906,0.007499999832361937,0.321805477142334
0,traffic,-10,5980,0.011558081023395061,0.13349999487400055,0.2092817723751068,0.0024999999441206455,0.010025125462561846,0.09324874728918076,0.20117691159248352
