fold,noise_type,snr_db,n_pairs,sg_eer,sg_min_dcf,sg_threshold,cg_far,overall_eer,overall_min_dcf,overall_threshold
0,clean,,5980,0.015578282997012138,0.17100000381469727,0.4812403917312622,0.001500000013038516,0.010902009904384613,0.16937436163425446,0.45275405049324036
0,cafeteria,-10,5980,0.11909596249461174,0.398499995470047,0.2592066526412964,0.05700000002980232,0.11002512648701668,0.398499995470047,0.22815850377082825
0,cafeteria,-5,5980,0.09447222203016281,0.36899998784065247,0.2814267575740814,0.045499999076128006,0.08496231213212013,0.36899998784065247,0.25724679231643677
0,cafeteria,0,5980,0.052010102197527885,0.3630000054836273,0.34725987911224365,0.019999999552965164,0.042481156066060066,0.3614974617958069,0.3277352750301361
0,cafeteria,5,5980,0.0298989899456501,0.31349998712539673,0.4151715040206909,0.0044999998062849045,0.024561557918787003,0.3029974699020386,0.3852214217185974
0,cafeteria,10,5980,0.020603535696864128,0.27149999141693115,0.4488528072834015,0.0020000000949949026,0.015538944397121668,0.2424975037574768,0.42082300782203674
0,metro,-10,5980,0.10703535377979279,0.3959999978542328,0.2682991325855255,0.054499998688697815,0.10000000149011612,0.37662309408187866,0.24017375707626343
0,metro,-5,5980,0.07587878778576851,0.38499999046325684,0.3114413619041443,0.03099999949336052,0.06604019924998283,0.3801231384277344,0.2904253602027893
0,metro,0,5980,0.046984847635030746,0.34950000047683716,0.3668789863586426,0.014999999664723873,0.036967337131500244,0.3436231017112732,0.3410961329936981
0,metro,5,5980,0.02537626214325428,0.2915000021457672,0.42757418751716614,0.004999999888241291,0.019047738052904606,0.2724975049495697,0.4062231779098511
0,metro,10,5980,0.019598484970629215,0.24150000512599945,0.4536965787410736,0.0020000000949949026,0.014035176020115614,0.2244974970817566,0.42889678478240967
0,office,-10,5980,0.0783914141356945,0.3935000002384186,0.3028354346752167,0.03350000083446503,0.06754397228360176,0.3926231265068054,0.28578224778175354
0,office,-5,5980,0.0550252515822649,0.37299999594688416,0.34828484058380127,0.017999999225139618,0.044110553339123726,0.36762312054634094,0.32653090357780457
0,office,0,5980,0.03391919285058975,0.34200000762939453,0.39873552322387695,0.006500000134110451,0.027443467639386654,0.3216231167316437,0.37480974197387695
0,office,5,5980,0.02537626214325428,0.3019999861717224,0.43019095063209534,0.004999999888241291,0.018546482548117638,0.28899750113487244,0.4064863622188568
0,office,10,5980,0.01909595914185047,0.2515000104904175,0.4538803994655609,0.0020000000949949026,0.014035176020115614,0.22599749267101288,0.43010666966438293
0,park,-10,5980,0.10100505128502846,0.3959999978542328,0.27315136790275574,0.048500001430511475,0.0904761292040348,0.39362311363220215,0.25015026330947876
0,park,-5,5980,0.07738636434078217,0.3804999887943268,0.2994084656238556,0.03700000047683716,0.07005025073885918,0.3804999887943268,0.278463214635849
0,park,0,5980,0.05050252564251423,0.3569999933242798,0.3560781478881836,0.014999999664723873,0.042105527594685555,0.3569999933242798,0.33254697918891907
0,park,5,5980,0.032914141193032265,0.33799999952316284,0.4019050896167755,0.005499999970197678,0.025438441894948483,0.33337435126304626,0.3820843994617462
