fold,noise_type,snr_db,n_pairs,sg_eer,sg_min_dcf,sg_threshold,cg_far,overall_eer,overall_min_dcf,overall_threshold
0,clean,,5980,0.0015075757401064038,0.004999999888241291,0.36495137214660645,0.0010000000474974513,0.0013781407033093274,0.007499999832361937,0.36495137214660645
0,cafeteria,-10,5980,0.36407069861888885,0.9559999704360962,0.01576203666627407,0.3440000116825104,0.3605263829231262,0.9523743987083435,0.014677891507744789
0,cafeteria,-5,5980,0.10402020439505577,0.5795000195503235,0.10211122035980225,0.07150000333786011,0.09649120643734932,0.5473718643188477,0.09705224633216858
0,cafeteria,0,5980,0.010050504934042692,0.1055000051856041,0.2017698436975479,0.005499999970197678,0.008020100649446249,0.0853743776679039,0.19849339127540588
0,cafeteria,5,5980,0.005025252467021346,0.05350000038743019,0.2591398060321808,0.0010000000474974513,0.0030075376853346825,0.05350000038743019,0.25082653760910034
0,cafeteria,10,5980,0.0030151514802128077,0.032499998807907104,0.2825629413127899,0.0010000000474974513,0.0023806532844901085,0.032499998807907104,0.2796635925769806
0,metro,-10,5980,0.26407070457935333,0.8205000758171082,0.05794358253479004,0.16750000417232513,0.24498744308948517,0.8205000758171082,0.049635715782642365
0,metro,-5,5980,0.07939646393060684,0.2529999911785126,0.12494995445013046,0.04650000110268593,0.07406030222773552,0.2529999911785126,0.11674481630325317
0,metro,0,5980,0.01909595914185047,0.10299999266862869,0.19185146689414978,0.009499999694526196,0.017543969675898552,0.10299999266862869,0.18194261193275452
0,metro,5,5980,0.006030302960425615,0.07500000298023224,0.2514115273952484,0.001500000013038516,0.005388190969824791,0.06724874675273895,0.23611614108085632
0,metro,10,5980,0.002512626233510673,0.019999999552965164,0.28992918133735657,0.0,0.0018793970230035484,0.019999999552965164,0.28847286105155945
0,office,-10,5980,0.038441918790340424,0.20149999856948853,0.1497918963432312,0.013500000350177288,0.03345854394137859,0.20149999856948853,0.14014717936515808
0,office,-5,5980,0.010050504934042692,0.11050000786781311,0.19866865873336792,0.0044999998062849045,0.008521357085555792,0.08787437528371811,0.1929088532924652
0,office,0,5980,0.0055277778301388025,0.04800000041723251,0.22590652108192444,0.001500000013038516,0.0040100503247231245,0.042874373495578766,0.21893005073070526
0,office,5,5980,0.005025252467021346,0.0364999994635582,0.2475944459438324,0.0010000000474974513,0.004511306528002024,0.0364999994635582,0.2375359684228897
0,office,10,5980,0.002512626233510673,0.03999999910593033,0.2844211757183075,0.0010000000474974513,0.0020050251623615623,0.03437437117099762,0.27196186780929565
0,park,-10,5980,0.15904545038938522,0.7450000047683716,0.09129032492637634,0.09449999779462814,0.14498743414878845,0.6933718323707581,0.08299662172794342
0,park,-5,5980,0.04346717149019241,0.2304999977350235,0.15894199907779694,0.016499999910593033,0.03947361931204796,0.2304999977350235,0.14624786376953125
0,park,0,5980,0.014070707373321056,0.07150000333786011,0.20323200523853302,0.0024999999441206455,0.012531407177448273,0.07150000333786011,0.1946706473827362
0,park,5,5980,0.005025252467021346,0.03550000116229057,0.23772850632667542,0.001500000013038516,0.005012562731280923,0.03550000116229057,0.22784727811813354
0,park,10,5980,0.002512626233510673,0.008500000461935997,0.26679542660713196,0.001500000013038516,0.0025062813656404614,0.008500000461935997,0.26244696974754333
0,traffic,-10,5980,0.07939646393060684,0.4964999854564667,0.13529345393180847,0.026000000536441803,0.0680452287197113,0.4296231269836426,0.12446669489145279
0,traffic,-5,5980,0.025126262567937374,0.15299999713897705,0.19610652327537537,0.006500000134110451,0.019047738052904606,0.12787435948848724,0.18462353944778442
0,traffic,0,5980,0.006532828323543072,0.029000001028180122,0.225361168384552,0.0024999999441206455,0.006015075370669365,0.029000001028180122,0.2159029096364975
0,traffic,5,5980,0.0030151514802128077,0.008999999612569809,0.2786669433116913,0.0005000000237487257,0.0025062813656404614,0.026000000536441803,0.27375322580337524
0,traffic,10,5980,0.002512626233510673,0.016499999910593033,0.2875804305076599,0.0010000000474974513,0.0018793970230035484,0.016499999910593033,0.2791833281517029
1,clean,,5980,0.0005025252758059651,0.0005000000237487257,0.377462774515152,0.0,0.0005012562905903906,0.0005000000237487257,0.36240267753601074
1,cafeteria,-10,5980,0.3869343400001526,0.9774999618530273,0.023431286215782166,0.2775000035762787,0.3635339140892029,0.9774999618530273,0.01730937696993351
1,cafeteria,-5,5980,0.10954798012971878,0.4855000078678131,0.1106376200914383,0.0560000017285347,0.09949874505400658,0.4702487587928772,0.10176677256822586
1,cafeteria,0,5980,0.013065656647086143,0.04500000178813934,0.22984641790390015,0.0020000000949949026,0.011528894305229187,0.04500000178813934,0.20957458019256592
1,cafeteria,5,5980,0.005025252467021346,0.012000000104308128,0.26814913749694824,0.0,0.0038844222435727715,0.012000000104308128,0.2597763240337372
1,cafeteria,10,5980,0.002512626233510673,0.006000000052154064,0.29684996604919434,0.0,0.0020050251623615623,0.006000000052154064,0.2881900668144226
1,metro,-10,5980,0.24949748069047928,0.8059999942779541,0.06933552026748657,0.13950000703334808,0.22744347155094147,0.8059999942779541,0.05951331928372383
1,metro,-5,5980,0.07889394089579582,0.40049999952316284,0.13841423392295837,0.027000000700354576,0.0715540200471878,0.3281231224536896,0.12362141162157059
1,metro,0,5980,0.01758838351815939,0.051499996334314346,0.22338099777698517,0.0010000000474974513,0.014035176020115614,0.051499996334314346,0.20262175798416138
1,metro,5,5980,0.003517676843330264,0.05900000408291817,0.2752194106578827,0.0005000000237487257,0.0035087940050289035,0.05424874275922775,0.2611806094646454
1,metro,10,5980,0.0015075757401064038,0.0035000001080334187,0.3168718218803406,0.0,0.0010025125811807811,0.0035000001080334187,0.30473440885543823
1,office,-10,5980,0.038441918790340424,0.23600001633167267,0.16074703633785248,0.020999999716877937,0.03596482425928116,0.21087436378002167,0.15388159453868866
1,office,-5,5980,0.01206060592085123,0.06949999928474426,0.20997320115566254,0.004999999888241291,0.01040075346827507,0.06949999928474426,0.20388494431972504
1,office,0,5980,0.005025252467021346,0.02449999749660492,0.24511191248893738,0.0010000000474974513,0.0033831659238785505,0.02449999749660492,0.2413455992937088
1,office,5,5980,0.002512626233510673,0.0044999998062849045,0.28697651624679565,0.0,0.0015037688426673412,0.0044999998062849045,0.278685986995697
1,office,10,5980,0.0010050505516119301,0.0010000000474974513,0.31112438440322876,0.0,0.0010025125811807811,0.0010000000474974513,0.29545414447784424
1,park,-10,5980,0.16256313025951385,0.8330000042915344,0.09286748617887497,0.11150000244379044,0.1528819054365158,0.7672436833381653,0.08610207587480545
1,park,-5,5980,0.046984847635030746,0.29350000619888306,0.17068862915039062,0.013000000268220901,0.03997487388551235,0.2622487545013428,0.15956662595272064
1,park,0,5980,0.0135681820102036,0.09350000321865082,0.23419980704784393,0.003000000026077032,0.011403266340494156,0.09350000321865082,0.22442229092121124
1,park,5,5980,0.006532828323543072,0.058000002056360245,0.2574603855609894,0.0010000000474974513,0.005388190969824791,0.058000002056360245,0.24881678819656372
1,park,10,5980,0.0020101011032238603,0.013000000268220901,0.3098624348640442,0.0005000000237487257,0.0018793970230035484,0.013000000268220901,0.3067244589328766
1,traffic,-10,5980,0.07587878778576851,0.4970000088214874,0.1425047218799591,0.02800000086426735,0.06290703639388084,0.4216231107711792,0.1348942518234253
1,traffic,-5,5980,0.02211111132055521,0.125,0.2157892882823944,0.0020000000949949026,0.01791959721595049,0.12387436628341675,0.20148377120494843
1,traffic,0,5980,0.007035353686660528,0.061500005424022675,0.24413332343101501,0.0024999999441206455,0.006891959812492132,0.05387436971068382,0.2305123209953308
1,traffic,5,5980,0.003517676843330264,0.008999999612569809,0.28353920578956604,0.0,0.0023806532844901085,0.008999999612569809,0.27923792600631714
1,traffic,10,5980,0.002512626233510673,0.005499999970197678,0.3215692639350891,0.0,0.0015037688426673412,0.005499999970197678,0.30126845836639404
2,clean,,5980,0.0010050505516119301,0.0020000000949949026,0.32111987471580505,0.0,0.0005012562905903906,0.0020000000949949026,0.32043176889419556
2,cafeteria,-10,5980,0.38040150701999664,0.9900000095367432,0.013896155171096325,0.31049999594688416,0.36453641951084137,0.9793744683265686,0.009782195091247559
2,cafeteria,-5,5980,0.09095454588532448,0.4404999911785126,0.11112511157989502,0.03750000149011612,0.08007537573575974,0.4404999911785126,0.10005316138267517
2,cafeteria,0,5980,0.013065656647086143,0.07800000160932541,0.21237340569496155,0.0020000000949949026,0.01203015074133873,0.061374370008707047,0.19252176582813263
2,cafeteria,5,5980,0.005025252467021346,0.027499999850988388,0.25808656215667725,0.0005000000237487257,0.004511306528002024,0.027499999850988388,0.23831672966480255
2,cafeteria,10,5980,0.002512626233510673,0.007499999832361937,0.2795952558517456,0.0010000000474974513,0.0020050251623615623,0.007499999832361937,0.26827776432037354
2,metro,-10,5980,0.24949748069047928,0.7590000033378601,0.05689036473631859,0.16699999570846558,0.22994975000619888,0.7973718643188477,0.050572823733091354
2,metro,-5,5980,0.07361868768930435,0.23350001871585846,0.1275969296693802,0.03099999949336052,0.06541331484913826,0.23350001871585846,0.1145186796784401
2,metro,0,5980,0.016080808825790882,0.10100000351667404,0.19622932374477386,0.005499999970197678,0.01453643199056387,0.08687436580657959,0.18742311000823975
2,metro,5,5980,0.0020101011032238603,0.015499998815357685,0.27058345079421997,0.0,0.0020050251623615623,0.015499998815357685,0.26187342405319214
2,metro,10,5980,0.002512626233510673,0.006000000052154064,0.26922038197517395,0.0010000000474974513,0.0025062813656404614,0.006000000052154064,0.26534488797187805
2,office,-10,5980,0.02537626214325428,0.2460000216960907,0.16579033434391022,0.006500000134110451,0.022055276669561863,0.1799974888563156,0.1524486541748047
