metric,mean,std,min,max
test_sg_eer,0.00402020204346627,0.0020101010522921604,0.0015075757401064038,0.007035353686660528
test_sg_mindcf,0.0125,0.005722761593750685,0.004999999888241291,0.019999999552965164
test_cg_far,0.0,0.0,0.0,0.0
test_overall_eer,0.00328316583763808,0.001291367328049448,0.0015037688426673412,0.005012562731280923
test_overall_mindcf,0.0125,0.005722761593750685,0.004999999888241291,0.019999999552965164
