noise_type,snr_db,sg_eer_mean,sg_eer_std,sg_mdcf_mean,sg_mdcf_std,cg_far_mean,n_folds
cafeteria,-10.0,0.012663636542856693,0.003716649023186024,0.07740000188350678,0.02392279467967018,0.004700000106822699,5
cafeteria,-5.0,0.0042212122119963166,0.002696833586026642,0.022499999962747097,0.019732586713419764,0.001699999999254942,5
cafeteria,0.0,0.0022111111087724567,0.002264153693288601,0.006200000224635005,0.006389444756114684,0.0016000000527128578,5
cafeteria,5.0,0.0014070707722567022,0.0016817712423594494,0.003100000019185245,0.003814446224900056,0.0013000000035390258,5
cafeteria,10.0,0.0016080808243714273,0.002084117062764584,0.003000000002793968,0.0036912057393228854,0.001999999943654984,5
clean,,0.0017085858969949185,0.0022918677949873996,0.0034000001614913344,0.004219004822337764,0.0019999999320134522,5
metro,-10.0,0.009246464632451535,0.004403910807300421,0.07429999932646751,0.02620734560290822,0.0024000000790692865,5
metro,-5.0,0.004623232339508831,0.0021730949036497848,0.015500000305473804,0.0102895580067798,0.0018000000272877514,5
metro,0.0,0.002010101033374667,0.0023570523244309345,0.008700000215321779,0.007513321619978,0.00130000002682209,5
metro,5.0,0.001809090923052281,0.0025025555444207624,0.0036999999079853295,0.0044805132274407244,0.0021999999764375387,5
metro,10.0,0.0016080808243714273,0.002084117062764584,0.003100000019185245,0.003814446224900056,0.001600000075995922,5
office,-10.0,0.002814141457201913,0.0023463140392666446,0.008999999880325049,0.007549834232017476,0.0010999999707564712,5
office,-5.0,0.0015075757808517664,0.0014651002996803018,0.006500000227242708,0.006082762847921779,0.0010999999940395355,5
office,0.0,0.0014070707373321056,0.001482236581332375,0.004099999973550439,0.005164784582222831,0.0018000000971369445,5
office,5.0,0.001507575751747936,0.0018802772585826484,0.003100000019185245,0.003814446224900056,0.0023000000044703485,5
office,10.0,0.0016080808243714273,0.002084117062764584,0.00320000012870878,0.004009364213084847,0.002600000042002648,5
park,-10.0,0.005628282786346972,0.0024975048688419487,0.03280000053346157,0.01518469653650277,0.0022999999579042195,5
park,-5.0,0.003718686895444989,0.002149727622697954,0.01580000021494925,0.015258604431246886,0.0016000000527128578,5
park,0.0,0.0016080808185506613,0.001439013345443364,0.004299999913200736,0.0038503245005909433,0.0010999999940395355,5
park,5.0,0.0016080808651167899,0.001565106078442953,0.0034000000217929483,0.0035601966203959528,0.0010999999823980034,5
park,10.0,0.0016080808651167899,0.0011997626172419156,0.0037000000709667804,0.0037013511460113053,0.0014000000432133675,5
traffic,-10.0,0.0048242424731142815,0.003581704425083623,0.019500000588595866,0.011973930985823472,0.0012999999918974936,5
traffic,-5.0,0.0031156565819401294,0.0023137999595943485,0.009199999924749135,0.0065249521132700146,0.0017000000458210706,5
traffic,0.0,0.001809090917231515,0.0016127850168989955,0.004400000046007335,0.004263214742369567,0.0014000000315718352,5
traffic,5.0,0.001306565699633211,0.0014907308436878442,0.003199999942444265,0.003946517354188265,0.0014000000315718352,5
traffic,10.0,0.001306565699633211,0.0014907308436878442,0.003000000002793968,0.0036912057393228854,0.0018999999272637069,5
