fold,noise_type,snr_db,n_pairs,sg_eer,sg_min_dcf,sg_threshold,cg_far,overall_eer,overall_min_dcf,overall_threshold
0,clean,,5980,0.0010050505516119301,0.0020000000949949026,0.46627816557884216,0.0,0.0008768844418227673,0.0020000000949949026,0.4628477394580841
0,cafeteria,-10,5980,0.04145707003772259,0.3449999988079071,0.19424159824848175,0.014000000432133675,0.03496231138706207,0.30574876070022583,0.18030425906181335
0,cafeteria,-5,5980,0.01809090841561556,0.17749999463558197,0.26083090901374817,0.0005000000237487257,0.011528894305229187,0.1738743782043457,0.24471215903759003
0,cafeteria,0,5980,0.006030302960425615,0.054999999701976776,0.3409806787967682,0.0,0.0035087940050289035,0.054999999701976776,0.3305181860923767
0,cafeteria,5,5980,0.003517676843330264,0.011500000022351742,0.38413572311401367,0.0,0.0023806532844901085,0.011500000022351742,0.37476709485054016
0,cafeteria,10,5980,0.0020101011032238603,0.003000000026077032,0.41435790061950684,0.0,0.0015037688426673412,0.003000000026077032,0.4049866199493408
0,metro,-10,5980,0.038441918790340424,0.3370000123977661,0.2144961655139923,0.00800000037997961,0.030451005324721336,0.31399744749069214,0.2019181102514267
0,metro,-5,5980,0.02160858642309904,0.125,0.2654215097427368,0.0005000000237487257,0.016541456803679466,0.125,0.24561583995819092
0,metro,0,5980,0.00854292931035161,0.08749999850988388,0.34911662340164185,0.0,0.005513819167390466,0.07337437570095062,0.3279942274093628
0,metro,5,5980,0.003517676843330264,0.026499997824430466,0.3972950577735901,0.0,0.0020050251623615623,0.026499997824430466,0.381531685590744
0,metro,10,5980,0.002512626233510673,0.007000000216066837,0.42508625984191895,0.0,0.0020050251623615623,0.007000000216066837,0.4092351496219635
0,office,-10,5980,0.009547979570925236,0.0949999988079071,0.2828986644744873,0.0005000000237487257,0.006891959812492132,0.0949999988079071,0.27361592650413513
0,office,-5,5980,0.006532828323543072,0.017999999225139618,0.31962594389915466,0.0,0.004385678330436349,0.017999999225139618,0.3029886484146118
0,office,0,5980,0.003517676843330264,0.023000000044703484,0.3637787699699402,0.0,0.0020050251623615623,0.023000000044703484,0.3544875383377075
0,office,5,5980,0.0030151514802128077,0.011500000022351742,0.3768433630466461,0.0,0.0025062813656404614,0.011500000022351742,0.35312768816947937
0,office,10,5980,0.0020101011032238603,0.004000000189989805,0.4151534140110016,0.0,0.0015037688426673412,0.004000000189989805,0.4086448848247528
0,park,-10,5980,0.02160858642309904,0.19900000095367432,0.24858656525611877,0.004000000189989805,0.018045226112008095,0.19900000095367432,0.23429468274116516
