noise_type,snr_db,sg_eer_mean,sg_eer_std,sg_mdcf_mean,sg_mdcf_std,cg_far_mean,n_folds
cafeteria,-10.0,0.035828787833452225,0.006975876140137462,0.36690000891685487,0.04073451707213349,0.012000000290572643,5
cafeteria,-5.0,0.01618131287395954,0.0064687314628341964,0.10959999710321426,0.0415833475448024,0.002399999985937029,5
cafeteria,0.0,0.004422222194261849,0.0017189007524866064,0.020800000056624413,0.02035190390474388,0.0003000000142492354,5
cafeteria,5.0,0.002713636343833059,0.0014477611568999285,0.006599999917671085,0.004248529093251071,0.0,5
cafeteria,10.0,0.001407070754794404,0.0013944510154909162,0.0033999999752268193,0.004144273091917532,0.00010000000474974513,5
clean,,0.0007035353570245207,0.0011009776573236373,0.001000000024214387,0.0014142135883856034,0.0,5
metro,-10.0,0.029949494823813438,0.005562739445584006,0.27930001020431516,0.041986007638315746,0.006700000120326876,5
metro,-5.0,0.016181313246488572,0.0054865082696742215,0.10820000097155572,0.03352163524317029,0.0019000000087544323,5
metro,0.0,0.006130808126181364,0.0018600223612766148,0.03359999991953373,0.03093824417931503,0.00020000000949949026,5
metro,5.0,0.0029146464774385096,0.001681771200616573,0.01019999971613288,0.010323515999778373,0.0,5
metro,10.0,0.0018090908881276846,0.0017624241161515802,0.0037999999942258,0.0041922546909289645,0.0,5
office,-10.0,0.008944949461147189,0.0028955223865348833,0.07770000174641609,0.04494107982639715,0.0013000000384636224,5
office,-5.0,0.004623232339508831,0.001959204096058031,0.013899999298155307,0.007987489251768946,0.0004000000189989805,5
office,0.0,0.0025126263266429306,0.0011785262552898303,0.00970000009983778,0.008707755230552392,0.00010000000474974513,5
office,5.0,0.0018090909579768777,0.0016514665437709457,0.005699999909847975,0.006290866203888941,0.0,5
office,10.0,0.0015075757692102343,0.0021320340613930526,0.003000000002793968,0.004242640600520684,0.0,5
park,-10.0,0.019698989856988192,0.004057716199678301,0.15010000616312028,0.06262627650764073,0.005000000027939678,5
park,-5.0,0.010352020151913166,0.0023730687391602953,0.08630000352859497,0.048136012625133985,0.0007000000332482159,5
park,0.0,0.004522727313451469,0.0015075757013013015,0.0276999999769032,0.019103664061992758,0.00020000000949949026,5
park,5.0,0.0031156565877608956,0.0013944509625250451,0.007299999985843897,0.0035461246159372755,0.00010000000474974513,5
park,10.0,0.0019095959898550064,0.0018257648709204758,0.0033000000519678,0.0024392622051307177,0.0,5
traffic,-10.0,0.0138696969486773,0.003616785499896645,0.14130000174045562,0.06800055009311784,0.0021000000298954545,5
traffic,-5.0,0.007236363692209124,0.0026968335101021377,0.045900000259280205,0.03794963798915705,0.00020000000949949026,5
traffic,0.0,0.004020202113315463,0.0022190914436271483,0.01550000011920929,0.012942179301996296,0.00010000000474974513,5
traffic,5.0,0.001407070754794404,0.0015651060756395499,0.0029000000329688193,0.0027477263393907866,0.0,5
traffic,10.0,0.0015075758274178952,0.0015891244533511567,0.0036000000080093743,0.004574385209998523,0.0,5
